NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,State &amp; County FIPS,2000 Population,2007 Population,2000 Population/Sq Mi,2007  Population/Sq Mi,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,2007 Housing Units,VACANT,OWNER_OCC,RENTER_OCC,1997 Farms,AVG_SIZE97,CROP_ACR97,AVG_SALE97,SQMI,Coastal Storm,Number of Dam Breaks,Drought,Earthquake,Fire,Fishing Losses,Flood,Freezing,HumanCause,Hurricane,Mud / Land Slide,Other,Severe Ice,Severe Storms,Snow,Terrorist,Tornado,Toxic,Tsunami,Typhoon,Volcano,All Incidents,2010 Population,2010 Population/Sq Mi,2015 Population,2015 Population/Sq Mi,CENSUSNAME
Pend Oreille,Washington,53,051,53051,11732,12599,8.2,8.8,10973,17,338,74,24,67,239,241,5881,5851,637,2447,451,616,1380,2021,2430,1750,41.9,42.1,41.7,4639,2.51,622,536,970,1696,136,267,3260,2.98,6608,1969,3590,1049,225,281,26763,12.79,1425.3,,,,,1,,3,,,,,,1,4,,,,,,,1,10,13001,9.12158843752193,13088,9.18262821862064,Pend Oreille County
Spokane,Washington,53,063,53063,417939,453859,234.7,254.9,381934,6659,5847,7870,666,3410,11553,11561,205138,212801,27478,80022,26897,44120,60002,65840,61631,51949,35.4,34.1,36.7,163611,2.46,20170,25882,36781,44868,4106,12047,106017,3.02,175005,11394,107203,56408,1643,359,398064,47.9,1780.7,,,,,1,,4,,,,,,1,2,,,,,,,1,9,471221,264.626832144662,490945,275.703375077217,Spokane County
Whatcom,Washington,53,073,53073,166814,191791,77.1,88.7,147485,1150,4709,4637,235,4159,4439,8687,82188,84626,10210,30037,14990,19385,22734,25307,24751,19400,34,33.1,35,64446,2.51,7471,9020,14423,18602,1379,3806,41094,3.03,73893,9447,40876,23570,1228,84,80854,196.78,2162.2,,,,1,,1,8,,,,,,,4,,,,,,,1,15,201140,93.0256220516141,212284,98.1796318564425,Whatcom County
Clallam,Washington,53,009,53009,64525,70908,36.6,40.2,57505,545,3303,731,104,761,1576,2203,32054,32471,3313,10857,2977,4466,7109,9803,12273,13727,43.8,42.1,45.3,27164,2.31,3164,4462,4723,9925,641,1614,18068,2.78,30683,3519,19757,7407,292,72,12116,20.58,1764.7,,,,1,,1,5,,,,,,,8,,,,,,,1,16,71404,40.4624015413385,73486,41.6422054740182,Clallam County
Jefferson,Washington,53,031,53031,25953,29621,14.3,16.3,23920,110,599,309,34,197,784,535,12696,13257,1059,4079,827,1304,2655,4479,6069,5481,47.1,46.9,47.2,11645,2.21,1491,1826,1794,4448,245,662,7578,2.67,14144,2499,8870,2775,144,91,8076,30.01,1818.5,,,,1,,1,6,,,,,,,7,,,,,,,1,16,29872,16.4267253230685,30466,16.7533681605719,Jefferson County
Grays Harbor,Washington,53,027,53027,67194,71744,34.8,37.2,59335,226,3132,818,73,1527,2083,3258,33390,33804,4185,13066,3370,5534,8676,10379,11663,10321,38.8,37.6,39.8,26808,2.48,3305,3861,5380,8217,818,1973,17914,2.98,32489,5681,18495,8313,389,109,24126,38.63,1929.2,,,,1,,1,11,,,,,,,9,,,,,,,1,23,72797,37.7342940078789,71122,36.8660584698321,Grays Harbor County
Pacific,Washington,53,049,53049,20984,21839,22.4,23.3,18998,42,513,436,19,384,592,1052,10402,10582,963,3537,777,1273,2161,3164,4374,4735,45.8,45,46.7,9096,2.27,1197,1483,1466,3366,193,445,5886,2.77,13991,4895,6807,2289,253,159,14667,67.05,936.2,,,,1,,1,7,,,,,,,7,,,,,,,1,17,20920,22.3456526383251,20848,22.2687459944456,Pacific County
Ferry,Washington,53,019,53019,7260,7641,3.2,3.4,5480,15,1327,21,4,162,251,205,3764,3496,394,1557,361,506,815,1238,1474,915,40,39.8,40.1,2823,2.49,387,314,557,988,90,202,1988,2.95,3775,952,2060,763,179,4524,22447,28.01,2257.3,,,,,1,,1,,,,,,,4,,,,,,,1,7,7551,3.3451468568644,7582,3.35888007796926,Ferry County
Stevens,Washington,53,065,53065,40066,43123,15.8,17,36078,111,2266,193,66,271,1081,739,19940,20126,2425,9072,1668,2536,4826,6926,7453,5160,39.2,38.7,39.7,15017,2.64,1584,1722,3840,5224,431,890,11018,3.08,17599,2582,11734,3283,989,531,123434,23.07,2540.7,,,,,1,,3,,,,,,,3,,,,,,,1,8,43531,17.1334671547211,43791,17.2358011571614,Stevens County
Boundary,Idaho,16,021,16021,9871,10868,7.7,8.5,9401,16,199,57,7,85,106,335,4971,4900,687,2193,409,755,1132,1667,1707,1321,38.3,37.7,39,3707,2.61,448,409,972,1303,96,197,2698,3.07,4095,388,2904,803,312,233,50657,43.4,1277.9,,,,,1,,1,,,,,,,3,,,,,,,1,6,10972,8.58596134282808,11318,8.85671805305579,Boundary County
